CRT,SectorName_x,FuelName,SectorID,FuelID,SectorName_y,GNFR
1.A.2.g.viii,Other (please specify),Gaseous fuels,2810,300,Other manufacturing industry (comb),B
1.A.2.g.viii,Other (please specify),Liquid fuels,2810,200,Other manufacturing industry (comb),B
1.A.2.g.viii,Other (please specify),Other fossil fuels,2810,500,Other manufacturing industry (comb),B
1.A.2.g.viii,Other (please specify),Peat,2810,140,Other manufacturing industry (comb),B
1.A.2.g.viii,Other (please specify),Solid fuels,2810,100,Other manufacturing industry (comb),B
2.H,Other (as specified in tables 2(I).A-H and 2(II))(3),,2820,0,Other industrial processes,B
2.H.3.Batteries Manufacturing,Batteries Manufacturing,,2820,0,Other industrial processes,B
2.H.3.Blasting and shooting,Blasting and shooting,,2820,0,Other industrial processes,B
2.H.3.Consumption of carbonates in flue gas desulphurisation,Consumption of carbonates in flue gas desulphurisation,,2820,0,Other industrial processes,B
2.H.3.Grouped confidential data of halocarbons and SF6,Grouped confidential data of halocarbons and SF6,,2820,0,Other industrial processes,B
2.H.3.Mineral industry CH4 emissions (fletton bricks),Mineral industry CH4 emissions (fletton bricks),,2820,0,Other industrial processes,B
2.H.3.Mineral wool production,Mineral wool production,,2820,0,Other industrial processes,B
2.H.3.Ore mines,Ore mines,,2820,0,Other industrial processes,B
2.H.3.Quarrying and mining of minerals other than coal,Quarrying and mining of minerals other than coal,,2820,0,Other industrial processes,B
2.H.3.Soda ash production (CO emissions),Soda ash production (CO emissions),,2820,0,Other industrial processes,B
2.H.3.Vegetable Oil Production,Vegetable Oil Production,,2820,0,Other industrial processes,B
2.H.3.Wood Processing,Wood Processing,,2820,0,Other industrial processes,B
1.A.3.b.i,Cars,Biodiesel (fossil component),3100,250,Passenger cars,F1-3*
1.A.3.b.i,Cars,Biomass,3100,400,Passenger cars,F1-3*
1.A.3.b.i,Cars,Diesel oil,3100,250,Passenger cars,F1-3*
1.A.3.b.i,Cars,Fossil part of biodiesel,3100,250,Passenger cars,F1-3*
1.A.3.b.i,Cars,Gaseous fuels,3100,300,Passenger cars,F1-3*
1.A.3.b.i,Cars,Gasoline,3100,230,Passenger cars,F1-3*
1.A.3.b.i,Cars,Kerosene,3100,240,Passenger cars,F1-3*
1.A.3.b.i,Cars,Liquefied petroleum gases (LPG),3100,220,Passenger cars,F1-3*
1.A.3.b.i,Cars,Lubricant oil,3100,275,Passenger cars,F1-3*
1.A.3.b.i,Cars,Other,3100,500,Passenger cars,F1-3*
1.A.3.b.i,Cars,Other fossil fuels,3100,500,Passenger cars,F1-3*
1.A.3.b.i,Cars,Other liquid fuels,3100,230,Passenger cars,F1-3*
1.A.3.b.v,Other (please specify),Biomass,3100,400,Passenger cars,F1-3*
1.A.3.b.v,Other (please specify),Gaseous fuels,3100,300,Passenger cars,F1-3*
1.A.3.b.v,Other (please specify),Heating and other gasoil,3100,250,Passenger cars,F1-3*
1.A.3.b.v,Other (please specify),Other Kerosene,3100,240,Passenger cars,F1-3*
1.A.3.b.v,Other (please specify),Other liquid fuels,3100,230,Passenger cars,F1-3*
1.A.3.b.v.CO2 from lubricant co-incineration in 2-stroke road vehicles,CO2 from lubricant co-incineration in 2-stroke road vehicles,lubricant used in 2-stroke mix,3100,275,Passenger cars,F1-3*
,,,3110,,Passenger cars - highway,F1-3*
,,,3120,,Passenger cars - urban,F1-3*
,,,3130,,Passenger cars - rural,F1-3*
1.A.3.b.ii,Light duty trucks,Biodiesel (fossil component),3200,250,Light duty vehicles,F1-3*
1.A.3.b.ii,Light duty trucks,Biomass,3200,400,Light duty vehicles,F1-3*
1.A.3.b.ii,Light duty trucks,Diesel oil,3200,250,Light duty vehicles,F1-3*
1.A.3.b.ii,Light duty trucks,Fossil part of biodiesel,3200,250,Light duty vehicles,F1-3*
1.A.3.b.ii,Light duty trucks,Gaseous fuels,3200,300,Light duty vehicles,F1-3*
1.A.3.b.ii,Light duty trucks,Gasoline,3200,230,Light duty vehicles,F1-3*
1.A.3.b.ii,Light duty trucks,Kerosene,3200,240,Light duty vehicles,F1-3*
1.A.3.b.ii,Light duty trucks,Liquefied petroleum gases (LPG),3200,220,Light duty vehicles,F1-3*
1.A.3.b.ii,Light duty trucks,Lubricant Oil,3200,275,Light duty vehicles,F1-3*
1.A.3.b.ii,Light duty trucks,Lubricants,3200,275,Light duty vehicles,F1-3*
1.A.3.b.ii,Light duty trucks,Other,3200,500,Light duty vehicles,F1-3*
1.A.3.b.ii,Light duty trucks,Other fossil fuels,3200,500,Light duty vehicles,F1-3*
1.A.3.b.ii,Light duty trucks,Other liquid fuels,3200,250,Light duty vehicles,F1-3*
,,,3210,,Light duty vehicles - highway,F1-3*
,,,3220,,Light duty vehicles - urban,F1-3*
,,,3230,,Light duty vehicles - rural,F1-3*
1.A.3.b.iii,Heavy duty trucks and buses,Biodiesel (fossil component),3300,250,Trucks (>3.5t),F1-3*
1.A.3.b.iii,Heavy duty trucks and buses,Biomass,3300,400,Trucks (>3.5t),F1-3*
1.A.3.b.iii,Heavy duty trucks and buses,Diesel oil,3300,250,Trucks (>3.5t),F1-3*
